rank,word_of_interest,colocate,score,score_normalized,label
169,terrorism,"('escalate', 'terrorism')",9.748359979429944,2.2525342337507062e-05,1980 - 1985
170,terrorism,"('country', 'terrorism')",9.735707980921184,2.24961076151266e-05,1980 - 1985
171,terrorism,"('danger', 'terrorism')",9.691770970833927,2.239458323609358e-05,1980 - 1985
172,terrorism,"('issue', 'terrorism')",9.64761585397056,2.2292554882052625e-05,1980 - 1985
173,terrorism,"('terrorism', 'specifically')",9.619720233249549,2.222809702372733e-05,1980 - 1985
174,terrorism,"('terrorism', 'generally')",9.580450936978925,2.2137358238566004e-05,1980 - 1985
175,terrorism,"('terrorism', 'terrorism')",9.530924998031047,2.202291963230388e-05,1980 - 1985
176,terrorism,"('terrorism', 'security')",9.516527287616636,2.1989651127996978e-05,1980 - 1985
177,terrorism,"('terrorism', 'restore')",9.489943709863184,2.192822498137172e-05,1980 - 1985
178,terrorism,"('terrorism', 'seminar')",9.398083360411196,2.1715965091193757e-05,1980 - 1985
179,terrorism,"('terrorism', 'repression')",9.370292692137083,2.1651749744408924e-05,1980 - 1985
180,terrorism,"('recognize', 'terrorism')",9.276023480779765,2.1433923744733994e-05,1980 - 1985
181,terrorism,"('terrorism', 'particularly')",9.218956546885016,2.1302060310798077e-05,1980 - 1985
182,terrorism,"('terrorism', 'hit')",9.139366670588863,2.111815355992371e-05,1980 - 1985
183,terrorism,"('terrorism', 'inadequate')",9.012913141429705,2.0825959894516765e-05,1980 - 1985
184,terrorism,"('terrorism', 'wake')",9.012913141429705,2.0825959894516765e-05,1980 - 1985
185,terrorism,"('terrorism', 'every')",8.994673240189488,2.0783813315963538e-05,1980 - 1985
186,terrorism,"('endorse', 'terrorism')",8.900381596417514,2.0565935482152338e-05,1980 - 1985
187,terrorism,"('treat', 'terrorism')",8.900381596417514,2.0565935482152338e-05,1980 - 1985
188,terrorism,"('terrorism', 'charge')",8.835174717427721,2.0415263238297493e-05,1980 - 1985
189,terrorism,"('terrorism', 'worldwide')",8.678644358886238,2.0053571638910557e-05,1980 - 1985
190,terrorism,"('headline', 'terrorism')",8.655456989040879,1.9999993042636392e-05,1980 - 1985
191,terrorism,"('kupperman', 'terrorism')",8.655456989040879,1.9999993042636392e-05,1980 - 1985
192,terrorism,"('stop', 'terrorism')",8.616887952584596,1.9910872333959364e-05,1980 - 1985
193,terrorism,"('age', 'terrorism')",8.570835515349494,1.9804459879312002e-05,1980 - 1985
194,terrorism,"('terrorism', 'pose')",8.57083551534949,1.9804459879311995e-05,1980 - 1985
195,terrorism,"('terrorism', 'rather')",8.564384823700433,1.9789554393874923e-05,1980 - 1985
196,terrorism,"('measure', 'terrorism')",8.527018825099683,1.9703213520944426e-05,1980 - 1985
197,terrorism,"('terrorism', 'active')",8.48538384281114,1.9607008391954073e-05,1980 - 1985
198,terrorism,"('terrorism', 'disappear')",8.46498198760851,1.9559866229197547e-05,1980 - 1985
199,terrorism,"('inflation', 'terrorism')",8.361024012516687,1.931965259504795e-05,1980 - 1985
200,terrorism,"('sort', 'terrorism')",8.361024012516687,1.931965259504795e-05,1980 - 1985
201,terrorism,"('terrorism', 'inflation')",8.361024012516687,1.931965259504795e-05,1980 - 1985
202,terrorism,"('palestinian', 'terrorism')",8.344593073010714,1.928168594854742e-05,1980 - 1985
203,terrorism,"('terrorism', 'suffering')",8.322292686833471,1.92301568878684e-05,1980 - 1985
204,terrorism,"('terrorism', 'recent')",8.241792510896962,1.904414672564361e-05,1980 - 1985
205,terrorism,"('terrorism', 'even')",8.187691810222791,1.8919137308064024e-05,1980 - 1985
206,terrorism,"('deter', 'terrorism')",8.163917796103375,1.8864203164484325e-05,1980 - 1985
207,terrorism,"('terrorism', 'package')",8.163917796103375,1.8864203164484325e-05,1980 - 1985
208,terrorism,"('terrorism', 'therefore')",8.15856900538803,1.8851843819711556e-05,1980 - 1985
209,terrorism,"('terrorism', 'long')",8.125573526162666,1.877560181934332e-05,1980 - 1985
210,terrorism,"('target', 'terrorism')",8.10210719276715,1.87213786275187e-05,1980 - 1985
211,terrorism,"('terrorism', 'attack')",8.0781924420906,1.8666119286763732e-05,1980 - 1985
212,terrorism,"('terrorism', 'whatever')",8.05996531595147,1.862400222738357e-05,1980 - 1985
213,terrorism,"('convict', 'terrorism')",8.03941045468141,1.8576506516537327e-05,1980 - 1985
214,terrorism,"('stress', 'terrorism')",8.03941045468141,1.8576506516537327e-05,1980 - 1985
215,terrorism,"('new', 'terrorism')",8.015747263877273,1.8521828450197384e-05,1980 - 1985
216,terrorism,"('terrorism', 'stem')",8.010595584982587,1.8509924567804802e-05,1980 - 1985
217,terrorism,"('terrorism', 'crime')",7.989015432633321,1.84600597371678e-05,1980 - 1985
218,terrorism,"('crackdown', 'terrorism')",7.862044792765658,1.8166671194288132e-05,1980 - 1985
219,terrorism,"('terrorism', 'phenomenon')",7.862044792765658,1.8166671194288132e-05,1980 - 1985
220,terrorism,"('information', 'terrorism')",7.835407041483473,1.810511986996294e-05,1980 - 1985
221,terrorism,"('terrorism', 'without')",7.802261931315606,1.8028532120339312e-05,1980 - 1985
222,terrorism,"('inspired', 'terrorism')",7.718007021561113,1.7833845969044078e-05,1980 - 1985
223,terrorism,"('terrorism', 'bomb')",7.653563915774644,1.768493856080357e-05,1980 - 1985
224,terrorism,"('terrorism', 'grow')",7.614738656313962,1.7595225802704795e-05,1980 - 1985
225,terrorism,"('cost', 'terrorism')",7.591250469810621,1.7540952115336728e-05,1980 - 1985
226,terrorism,"('history', 'terrorism')",7.506572348036832,1.7345288056410245e-05,1980 - 1985
227,terrorism,"('terrorism', 'perhaps')",7.400127996671603,1.709932920184855e-05,1980 - 1985
228,terrorism,"('people', 'terrorism')",7.311562745050917,1.6894683228969732e-05,1980 - 1985
229,terrorism,"('respond', 'terrorism')",7.243601875540666,1.6737647393762238e-05,1980 - 1985
230,terrorism,"('reject', 'terrorism')",7.226903960396917,1.6699063851942973e-05,1980 - 1985
231,terrorism,"('debate', 'terrorism')",7.141288187964182,1.6501233182209107e-05,1980 - 1985
232,terrorism,"('terrorism', 'however')",6.95497136431263,1.607071458781539e-05,1980 - 1985
233,terrorism,"('resist', 'terrorism')",6.936415934995405,1.6027838924783673e-05,1980 - 1985
234,terrorism,"('facilities', 'terrorism')",6.836829529414303,1.5797726589723258e-05,1980 - 1985
235,terrorism,"('speak', 'terrorism')",6.763146635007697,1.562746898491287e-05,1980 - 1985
236,terrorism,"('terrorism', 'meanwhile')",6.759222218752862,1.5618400913996166e-05,1980 - 1985
237,terrorism,"('arab', 'terrorism')",6.730724604051039,1.5552552040101944e-05,1980 - 1985
238,terrorism,"('encourage', 'terrorism')",6.624264605969678,1.5306557030983167e-05,1980 - 1985
239,terrorism,"('terrorism', 'largely')",6.607384701604273,1.5267552970273732e-05,1980 - 1985
240,terrorism,"('terrorism', 'never')",6.602156944613151,1.5255473295730443e-05,1980 - 1985
241,terrorism,"('terrorism', 'military')",6.598812631540447,1.5247745657747704e-05,1980 - 1985
242,terrorism,"('exploit', 'terrorism')",6.5907897957423724,1.5229207449961925e-05,1980 - 1985
243,terrorism,"('growth', 'terrorism')",6.5907897957423724,1.5229207449961925e-05,1980 - 1985
244,terrorism,"('terrorism', 'bitter')",6.5907897957423724,1.5229207449961925e-05,1980 - 1985
245,terrorism,"('terrorism', 'occur')",6.510867588818066,1.5044532789286914e-05,1980 - 1985
246,terrorism,"('terrorism', 'rising')",6.481305671883021,1.497622465330097e-05,1980 - 1985
247,terrorism,"('terrorism', 'decline')",6.455002788492706,1.4915447101581444e-05,1980 - 1985
248,terrorism,"('terrorism', 'aim')",6.377013796429333,1.4735239482198134e-05,1980 - 1985
249,terrorism,"('terrorism', 'require')",6.377013796429333,1.4735239482198134e-05,1980 - 1985
250,terrorism,"('contain', 'terrorism')",6.270216338602965,1.4488464711529982e-05,1980 - 1985
251,terrorism,"('reprisal', 'terrorism')",6.270216338602965,1.4488464711529982e-05,1980 - 1985
252,terrorism,"('terrorism', 'would')",6.2666323320859405,1.4480183218652598e-05,1980 - 1985
253,terrorism,"('terrorism', 'publish')",6.2463137231955095,1.443323341150097e-05,1980 - 1985
254,terrorism,"('instance', 'terrorism')",6.177088115593304,1.427327517103263e-05,1980 - 1985
255,terrorism,"('backing', 'terrorism')",6.168400084763338,1.4253199910260894e-05,1980 - 1985
256,terrorism,"('speech', 'terrorism')",6.156362064247167,1.422538389466803e-05,1980 - 1985
257,terrorism,"('terrorism', 'come')",6.141629151716391,1.4191340845469543e-05,1980 - 1985
258,terrorism,"('retaliation', 'terrorism')",6.130984297817893,1.4166743992388372e-05,1980 - 1985
259,terrorism,"('terrorism', 'total')",6.130984297817893,1.4166743992388372e-05,1980 - 1985
260,terrorism,"('engage', 'terrorism')",6.068939124110587,1.4023377438311972e-05,1980 - 1985
261,terrorism,"('terrorism', 'realize')",6.068939124110587,1.4023377438311972e-05,1980 - 1985
262,terrorism,"('terrorism', 'internal')",6.027053511757612,1.392659318339548e-05,1980 - 1985
263,terrorism,"('word', 'terrorism')",5.975005330354021,1.3806326481444132e-05,1980 - 1985
264,terrorism,"('proof', 'terrorism')",5.8767255326833645,1.3579233299404917e-05,1980 - 1985
265,terrorism,"('discuss', 'terrorism')",5.860625021623214,1.3542030167369992e-05,1980 - 1985
266,terrorism,"('terrorism', 'insurgent')",5.7838065923210635,1.3364527344175962e-05,1980 - 1985
267,terrorism,"('italy', 'terrorism')",5.71424848469243,1.3203800802481739e-05,1980 - 1985
268,terrorism,"('terrorism', 'something')",5.678257179550513,1.3120636406500665e-05,1980 - 1985
269,terrorism,"('behind', 'terrorism')",5.630244478644245,1.3009694409411505e-05,1980 - 1985
270,terrorism,"('terrorism', 'compare')",5.603962282124038,1.294896465843303e-05,1980 - 1985
271,terrorism,"('experience', 'terrorism')",5.594315148150861,1.2926673217023384e-05,1980 - 1985
272,terrorism,"('terrorism', 'really')",5.533707881685663,1.2786629206733468e-05,1980 - 1985
273,terrorism,"('pattern', 'terrorism')",5.431646377525717,1.255079771040642e-05,1980 - 1985
274,terrorism,"('terrorism', 'clearly')",5.414786407976471,1.251183971268187e-05,1980 - 1985
275,terrorism,"('states', 'terrorism')",5.410746143200825,1.2502503952882515e-05,1980 - 1985
276,terrorism,"('increase', 'terrorism')",5.3373167818257805,1.2332832181826917e-05,1980 - 1985
277,terrorism,"('course', 'terrorism')",5.306048083847322,1.2260580220686877e-05,1980 - 1985
278,terrorism,"('contribute', 'terrorism')",5.266352296536775,1.2168855951126283e-05,1980 - 1985
279,terrorism,"('terrorism', 'provoke')",5.266352296536775,1.2168855951126283e-05,1980 - 1985
280,terrorism,"('terrorism', 'walter')",5.266352296536775,1.2168855951126283e-05,1980 - 1985
281,terrorism,"('terrorism', 'appear')",5.260614286230188,1.2155597244352555e-05,1980 - 1985
282,terrorism,"('ground', 'terrorism')",5.241920090437918,1.211240093637523e-05,1980 - 1985
283,terrorism,"('terrorism', 'policy')",5.240485808466884,1.210908676943082e-05,1980 - 1985
284,terrorism,"('terrorism', 'example')",5.2373000188134045,1.2101725428373315e-05,1980 - 1985
285,terrorism,"('success', 'terrorism')",5.1857139230970715,1.1982526458667874e-05,1980 - 1985
286,terrorism,"('student', 'terrorism')",5.173184745500526,1.1953575536136789e-05,1980 - 1985
287,terrorism,"('terrorism', 'counter')",5.13019393391967,1.185423751925298e-05,1980 - 1985
288,terrorism,"('terrorism', 'refer')",5.13019393391967,1.185423751925298e-05,1980 - 1985
289,terrorism,"('terrorism', 'counterterror')",5.107622939692953,1.1802083169913449e-05,1980 - 1985
290,terrorism,"('terrorism', 'common')",5.08653504727066,1.1753355794540462e-05,1980 - 1985
291,terrorism,"('terrorism', 'seem')",5.084082856963951,1.1747689566964554e-05,1980 - 1985
292,terrorism,"('eta', 'terrorism')",5.075347586261163,1.1727505149954279e-05,1980 - 1985
